classification_id,subject_ids,ForestType,ForestName,choice,behavior_CLIMBING,behavior_DIGGING,behavior_FLYING,behavior_FORAGINGEATING,behavior_INTERACTING,behavior_OTHER,behavior_SITTINGSTANDINGLYING,behavior_WALKINGRUNNING,user_name,workflow_version,SnowDepth,Young,Antlers,Precipitation,Image1,Image2,Image3,Camera,SDCard
155951222,31428286,Deciduous ,SH,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,anvon15,123.17,NA,NA,NA,NA,03_05_SH_000001.JPG,03_05_SH_000002.JPG,03_05_SH_000003.JPG,3,5
156440008,31428287,Deciduous ,SH,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,brigidbarstow,123.17,NA,NA,NA,NA,03_05_SH_000004.JPG,03_05_SH_000005.JPG,03_05_SH_000006.JPG,3,5
155209169,31428288,Deciduous ,SH,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,barthelmess,123.17,NA,NA,NA,NA,03_05_SH_000007.JPG,03_05_SH_000008.JPG,03_05_SH_000009.JPG,3,5
155949282,31428289,Deciduous ,SH,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,anvon15,123.17,NA,NA,NA,NA,03_05_SH_000010.JPG,03_05_SH_000011.JPG,03_05_SH_000012.JPG,3,5
155950164,31428290,Deciduous ,SH,SOMETHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,anvon15,123.17,NA,NA,NA,NA,03_05_SH_000013.JPG,03_05_SH_000014.JPG,03_05_SH_000015.JPG,3,5
154692193,31428291,Pine ,WF,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,Hartk,123.17,NA,NA,NA,NA,04_26_WF_000001.JPG,04_26_WF_000002.JPG,04_26_WF_000003.JPG,4,26
154693994,31428292,Pine ,WF,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,not-logged-in-42881cd7c1c2c2f4d1fc,123.17,NA,NA,NA,NA,04_26_WF_000004.JPG,04_26_WF_000005.JPG,04_26_WF_000006.JPG,4,26
155213230,31428293,Pine ,WF,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,barthelmess,123.17,NA,NA,NA,NA,04_26_WF_000007.JPG,04_26_WF_000008.JPG,04_26_WF_000009.JPG,4,26
155997813,31428294,Pine ,WF,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,LJKinsey,123.17,NA,NA,NA,NA,04_26_WF_000010.JPG,04_26_WF_000011.JPG,04_26_WF_000012.JPG,4,26
156720982,31428295,Pine ,WF,TURKEY,0,0,0,0,0,0,0,1,seauch15,123.17,2030CM,NO,NA,NO,04_26_WF_000013.JPG,04_26_WF_000014.JPG,04_26_WF_000015.JPG,4,26
155865029,31428296,Pine ,WF,NOTHINGHERE,NA,NA,NA,NA,NA,NA,NA,NA,Donovan.Spaulding,123.17,NA,NA,NA,NA,04_26_WF_000016.JPG,04_26_WF_000017.JPG,04_26_WF_000018.JPG,4,26
155770321,31428297,Pine ,WF,DEERWHITETAILED,0,0,0,0,0.333333333,0,0.666666667,0.333333333,keandy16,123.17,1020CM,NO,NO,NO,04_26_WF_000019.JPG,04_26_WF_000020.JPG,04_26_WF_000021.JPG,4,26
155714198,31428298,Pine ,WF,DEERWHITETAILED,0,0,0,0,0,0,0,1,anvon15,123.17,2030CM,NO,NO,NO,04_26_WF_000022.JPG,04_26_WF_000023.JPG,04_26_WF_000024.JPG,4,26
155713608,31428299,Pine ,WF,DEERWHITETAILED,0,0,0,0.333333333,0,0,0,1,anvon15,123.17,2030CM,NO,NO,NO,04_26_WF_000025.JPG,04_26_WF_000026.JPG,04_26_WF_000027.JPG,4,26
