subject_ids,num_class,num_votes,agg_num_species,diff_species,choice,votes,propvote,propclass,med_count,min_count,max_count,behavior_CLIMBING,behavior_DIGGING,behavior_FLYING,behavior_FORAGINGEATING,behavior_INTERACTING,behavior_OTHER,behavior_SITTINGSTANDINGLYING,behavior_WALKINGRUNNING
31428290,4,4,1,2,NOTHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428290,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428295,2,2,1,2,CROWORRAVEN,1,0.5,0.5,2,2,2,0,0,0,0,0,0,1,0
31428295,2,2,1,2,TURKEY,1,0.5,0.5,2,2,2,0,0,0,0,0,0,0,1
31428301,7,8,1,4,FOXGRAY,1,0.125,0.14285714285714285,1,1,1,0,0,0,0,1,0,0,1
31428301,7,8,1,4,MOLE,1,0.125,0.14285714285714285,1,1,1,0,0,0,0,0,0,0,1
31428301,7,8,1,4,NOTHINGHERE,1,0.125,0.14285714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428301,7,8,1,4,SOMETHINGHERE,5,0.625,0.7142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428310,4,4,1,2,COTTONTAILRABBIT,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31428310,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428312,7,7,1,2,COTTONTAILRABBIT,3,0.42857142857142855,0.42857142857142855,1,1,1,0,0,0,0,0,0,0,1
31428312,7,7,1,2,SNOWSHOEHARE,4,0.5714285714285714,0.5714285714285714,1,1,1,0,0,0,0,0,0,0.25,1
31428319,5,5,1,2,PORCUPINE,1,0.2,0.2,1,1,1,0,0,0,0,0,0,0,1
31428319,5,5,1,2,SOMETHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428320,2,3,2,2,NOTHINGHERE,1,0.3333333333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428320,2,3,2,2,SOMETHINGHERE,2,0.6666666666666666,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428323,5,5,1,2,SOMETHINGHERE,1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428323,5,5,1,2,SQUIRRELGRAY,4,0.8,0.8,1,1,1,0,0,0,0,0,0,0,1
31428329,5,5,1,2,SOMETHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428329,5,5,1,2,SQUIRRELGRAY,1,0.2,0.2,1,1,1,0,0,0,0,0,0,0,1
31428333,2,2,1,2,NOTHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428333,2,2,1,2,SOMETHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428336,3,3,1,2,NOTHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428336,3,3,1,2,SQUIRRELGRAY,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0.5,0.5
31428347,2,2,1,2,NOTHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428347,2,2,1,2,SQUIRRELGRAY,1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1
31428351,4,4,1,2,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428351,4,4,1,2,SQUIRRELGRAY,3,0.75,0.75,1,1,1,0,0,0,0,0,0,1,0
31428355,3,3,1,3,COTTONTAILRABBIT,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31428355,3,3,1,3,NOTHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428355,3,3,1,3,SOMETHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428356,4,5,1,2,NOTHINGHERE,4,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428356,4,5,1,2,SOMETHINGHERE,1,0.2,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428361,5,6,1,2,TURKEY,5,0.8333333333333334,1,NA,NA,NA,0,0,0,0,0,0,0.25,0.75
31428361,5,6,1,2,VULTURE,1,0.16666666666666666,0.2,1,1,1,0,0,0,0,0,0,0,1
31428365,4,4,1,2,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428365,4,4,1,2,SQUIRRELGRAY,3,0.75,0.75,1,1,1,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666
31428367,4,5,1,2,NOTHINGHERE,4,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428367,4,5,1,2,SOMETHINGHERE,1,0.2,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428369,4,4,1,4,NOTHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428369,4,4,1,4,OTHERSMALLMAMMAL,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31428369,4,4,1,4,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428369,4,4,1,4,SQUIRRELGRAY,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31428373,8,8,1,2,GROUSERUFFED,7,0.875,0.875,1,1,1,0,0,0,0,0,0,0.7142857142857143,0.42857142857142855
31428373,8,8,1,2,OTHERBIRD,1,0.125,0.125,1,1,1,0,0,0,0,0,0,0,1
31428374,5,5,1,3,FISHER,3,0.6,0.6,1,1,1,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0
31428374,5,5,1,3,MINK,1,0.2,0.2,1,1,1,0,0,0,0,0,0,1,0
31428374,5,5,1,3,SOMETHINGHERE,1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428382,4,4,1,2,DEERWHITETAILED,1,0.25,0.25,1,1,1,0,0,0,0,0,0,1,0
31428382,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428387,4,4,1,3,DEERWHITETAILED,1,0.25,0.25,1,1,1,0,0,0,1,0,0,1,0
31428387,4,4,1,3,NOTHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428387,4,4,1,3,SOMETHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428390,3,3,1,2,NOTHINGHERE,2,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428390,3,3,1,2,OTHERSMALLMAMMAL,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31428391,5,5,1,2,NOTHINGHERE,3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428391,5,5,1,2,OTHERSMALLMAMMAL,2,0.4,0.4,NA,NA,NA,0,0,0,0,0,0,0,1
31428393,3,3,1,3,GROUSERUFFED,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31428393,3,3,1,3,HUMAN,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31428393,3,3,1,3,TURKEY,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31428410,8,8,1,2,DEERWHITETAILED,4,0.5,0.5,1,1,1,0,0,0,0.6666666666666666,0,0,0,0.6666666666666666
31428410,8,8,1,2,SOMETHINGHERE,4,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428413,3,3,1,2,RACCOON,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0,1
31428413,3,3,1,2,SOMETHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428430,4,4,1,2,FOXRED,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31428430,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428433,4,4,1,3,DEERWHITETAILED,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31428433,4,4,1,3,NOTHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
